,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Alabama,7.935445127,8.614172779,8.0699648,8.835358656,7.469130091,6.504888179,5.806438355,5.525322279,6.260972161,7.272015126,8.088436294,8.134732466
Alaska,8.048780488,7.792840283,7.386231314,6.137922895,5.557749803,4.820535012,5.217466562,5.716050354,6.017623918,7.172305271,7.548151062,8.171125098
Arizona,5.173323545,5.429255979,5.792115696,6.691287985,6.05070661,5.724890789,4.94799399,4.023498183,4.746897541,4.46747951,5.647498969,5.851420698
Arkansas,7.520529988,8.185332517,7.914720695,8.452024356,7.197488877,5.862988922,5.204327754,5.010440772,5.842507317,6.864400636,7.464295786,7.575925344
California,5.285603797,6.006425087,6.326901332,7.037878243,7.080113461,6.388361402,5.714782073,5.0669644,5.258536691,4.802130153,5.680418293,5.422572393
Colorado,6.502948447,6.851123733,7.171077594,8.686072462,8.120645061,6.416166467,4.794156633,4.668032702,5.411193776,5.702878654,6.884442478,7.295297144
Connecticut,9.594780083,7.7686638,8.949351458,8.149999567,7.12412095,6.455910317,7.881861692,5.271350667,6.254327008,6.767896692,9.094766042,8.213682042
Delaware,9.0667799,8.03399292,8.57939862,7.801093673,7.75675976,5.75585458,6.887283867,5.115232107,6.308940633,6.585489753,7.833617093,7.754345047
Florida,6.89746862,7.046863895,6.753301338,6.616022049,5.777918841,5.781947989,5.269146226,5.002435963,5.407819646,6.40670261,7.004235058,7.011058741
Georgia,7.693179921,8.679764928,8.122601368,7.564397182,7.01477046,6.15247624,5.638822086,5.289967953,5.767038507,7.418511768,8.07068574,8.310000072
Hawaii,5.515873016,6.305291005,6.451322751,8.514285714,7.567724868,6.991534392,8.467195767,6.801587302,6.253439153,5.85978836,8.016402116,7.066666667
Idaho,5.662292458,6.571112032,6.529620676,6.611284991,6.360177053,5.489315418,5.603361641,4.65243633,5.452552496,5.06738783,5.950014988,5.291297604
Illinois,6.034973479,6.131157099,6.13853527,6.171564141,5.15721112,3.994573282,3.782845534,3.515023862,4.143732365,5.357436817,5.021009586,5.494830889
Indiana,5.396738024,5.568459271,5.666992377,5.343141309,4.484405388,3.625340923,3.342343912,3.122554082,4.077248492,4.803220735,4.675468658,4.970617924
Iowa,6.063129158,5.957202258,6.191904585,6.71043242,5.679663681,4.373683785,4.340282457,4.016590954,4.05449398,5.259824169,5.067925269,5.462553262
Kansas,7.452375839,8.169355204,8.343129937,9.453900275,8.384434908,7.076378799,6.25511887,5.847048027,6.47291625,6.77272017,7.710786713,7.44806996
Kentucky,5.9490229,6.512081491,6.713707913,6.045433391,5.303894863,4.312401499,3.909361497,3.758365666,4.391916743,5.440247019,5.279225876,5.7674
Louisiana,8.115791878,8.609204889,8.053024144,9.314467874,7.471187626,6.903641764,5.986516222,5.584009496,6.37874881,7.239829672,8.028447799,8.102791263
Maine,7.719111066,7.080683689,7.259099519,7.219973073,5.381023823,5.35381242,5.029381091,4.588780366,6.019421669,5.496685206,7.428712034,7.698739222
Maryland,7.1857413,6.678148953,7.183694443,6.607243865,6.303239188,4.853947018,5.374964933,4.330543295,5.329896835,5.441612423,6.41322774,6.016152338
Massachusetts,9.310775629,7.562180883,8.755164857,8.100378243,6.714156671,6.493201831,7.338330726,5.211968446,6.129948546,6.677125326,9.125110929,8.180005777
Michigan,6.215908123,5.856246252,6.121492216,5.900466335,4.622167941,3.728661889,3.397425513,3.152536158,4.432360165,4.838206517,5.994413278,5.255627932
Minnesota,7.012836201,6.805114029,6.91507483,7.288950051,5.915522184,4.525463098,4.508471952,4.357556646,4.267939115,5.511552997,6.739885763,6.195721148
Mississippi,8.151056849,8.635036082,8.154169467,9.269724645,7.583795878,6.670890522,5.793463565,5.468724122,6.320053507,7.254203667,8.118726416,8.165640005
Missouri,6.506384432,6.970595167,6.920615751,7.320407922,6.236020175,4.789954652,4.49348653,4.32216765,4.792080529,5.953190692,5.922208737,6.192405778
Montana,5.672028339,6.258485621,6.352393851,6.228567605,5.996986562,5.083326088,4.70668921,4.105056166,4.860058744,4.741314447,5.586288503,5.507198526
Nebraska,7.165109779,7.437588016,7.869418141,8.72584003,8.081966539,6.774042273,6.08159655,5.381617973,5.669872055,6.28072094,6.8356068,6.851683528
Nevada,4.973398664,5.510241981,5.610444358,6.168543181,5.979812495,5.454062594,4.947725618,4.00544981,4.446845536,3.966360567,5.478106232,4.69000475
New Hampshire,8.629199114,7.107043457,8.163086767,7.595460174,5.944410619,5.96030025,5.966310064,4.779402526,6.023932014,6.1122989,8.933183048,7.7612234
New Jersey,9.696175086,8.164655937,9.23919658,8.261729351,7.631106777,6.02376854,7.879303163,5.466282251,6.393055043,6.76391522,8.795756054,8.326917729
New Mexico,7.369905137,7.227990716,6.978788382,8.345720255,6.89300844,6.062007358,4.97379986,4.867451437,5.382860541,5.709186197,6.963917835,8.226673871
New York,8.785363461,7.234726691,8.552010181,7.384946297,6.43654627,5.794705088,6.831469157,4.578324882,5.878686034,6.072132628,8.873595758,7.477897204
North Carolina,5.876987016,6.5696607,6.57314184,5.831476587,5.074277955,4.373347468,4.043301324,3.79352374,4.338318265,5.361920779,5.688508525,5.67717225
North Dakota,5.696217011,5.821819296,6.689000424,6.935527567,6.861077093,6.798691263,6.671978601,5.75152176,4.802769892,5.383188937,5.88403866,5.386939349
Ohio,5.389729958,5.444906458,5.830385974,5.253694852,4.567533107,3.800643165,3.579125748,3.207116167,4.341092656,4.496842149,5.013666875,4.648948886
Oklahoma,6.588256861,6.710373315,7.438464918,7.868736669,7.277753976,6.234458424,5.892111901,5.150798496,4.798477294,5.855267029,6.298440651,6.161539177
Oregon,5.432012225,6.765761983,8.301753984,8.835779256,8.819270013,7.796619547,7.160397773,7.12187056,6.964357496,6.424273656,6.654871539,5.34345466
Pennsylvania,7.701067469,6.875063818,7.604044413,6.931254411,6.437460538,5.094527362,6.255433673,4.639137195,5.809317089,5.837757056,7.422787953,6.547005033
Rhode Island,9.451157111,7.729436144,8.927669667,8.403863222,6.829200178,6.754822422,7.657709833,5.376519867,6.047190511,7.0628155,9.132227,8.375205889
South Carolina,7.043004933,7.9516037,7.363852212,6.559966682,5.945862998,5.254879886,5.024372216,4.484744112,5.075702282,6.574304871,7.021875582,7.367641837
South Dakota,6.576713085,6.802575001,7.68938748,7.948027321,7.540027268,6.770286782,6.211045035,5.440529996,4.996271962,5.952873592,6.514304092,6.255961778
Tennessee,6.498058209,7.233642921,7.42924178,7.036953724,6.146387623,4.895846597,4.486732656,4.391989846,4.834331157,6.387801339,6.411824989,6.638641234
Texas,8.203206852,8.475805695,8.227518885,9.502677495,7.544699203,6.960322336,5.997442871,5.897630915,6.657370868,7.179477087,8.160236059,8.127571165
Utah,5.644276289,6.34983777,6.363203458,7.469466051,7.177251543,5.77390789,4.393222745,3.823488872,4.56449754,4.869152124,6.197041057,5.741755759
Vermont,8.39695808,6.94676248,8.055429475,7.374053535,5.75337712,5.765092,5.671642885,4.62502375,6.016736135,5.93183836,8.9325914,7.53036872
Virginia,6.137271987,6.194606399,6.531926781,5.847418092,5.244930241,4.315843083,4.208381643,3.701757574,4.596937222,4.996451005,5.555812038,5.363367706
Washington,5.308376236,6.16620525,7.460016906,7.94384536,7.94405224,7.036371285,6.382863897,6.406036529,6.476288091,5.755721966,5.985096527,4.835038561
West Virginia,5.458385768,5.623930354,5.99512293,5.344474275,4.62645906,3.913648992,3.639103175,3.288737733,4.199475348,4.478024189,5.004854998,4.636126186
Wisconsin,6.43981464,6.199419667,6.211475883,6.352758412,4.879748997,3.701389904,3.56882687,3.487822476,4.035074253,5.033435722,5.932084787,5.471242938
Wyoming,6.089664081,6.428952291,6.696864165,7.540508454,7.114635715,5.625249396,4.502696209,4.330799776,4.903806064,5.160719977,6.159316791,5.810086328
